,Currencies,Short Form,Sat Jun 27 13:03:29 2020,Sat Jun 27 13:04:11 2020
0,Indonesian Rupiah,IDR,188.53300,188.53300
1,Israeli New Sheqel,ILS,0.04538,0.04538
2,Jordanian Dinar,JOD,0.00938,0.00938
3,Japanese Yen,JPY,1.41788,1.41788
4,Kenyan Shilling,KES,1.40836,1.40836
5,South Korean Won,KRW,15.92030,15.92030
6,Lithuanian Litas,LKR,2.46231,2.46231
7,Moroccan Dirham,MAD,0.12849,0.12849
8,Mexican Peso,MXN,0.30491,0.30491
9,Swedish Krona,SEK,0.12340,0.12340
10,Singapore Dollar,SGD,0.01843,0.01843
11,Thai Baht,THB,0.40875,0.40875
12,Tunisian Dinar,TND,0.03774,0.03774
13,Turkish Lira,TRY,0.09065,0.09065
14,New Taiwan Dollar,TWD,0.39062,0.39062
15,Ukrainian Hryvnia,UAH,0.35341,0.35341
16,US Dollar,USD,0.01322,0.01322
17,Uruguayan Peso,UYU,0.55653,0.55653
18,Colombian Peso,COP,49.60330,49.60330
19,Czech Republic Koruna,CZK,0.31547,0.31547
20,Danish Krone,DKK,0.08784,0.08784
21,Chinese Yuan,CNY,0.09360,0.09360
22,Pakistani Rupee,PKR,2.21436,2.21436
23,Egyptian Pound,EGP,0.21370,0.21370
24,Euro,EUR,0.01179,0.01179
25,Fijian Dollar,FJD,0.02877,0.02877
26,British Pound Sterling,GBP,0.01072,0.01072
27,Hong Kong Dollar,HKD,0.10249,0.10249
28,Croatian Kuna,HRK,0.08910,0.08910
29,Hungarian Forint,HUF,4.18748,4.18748
30,United Arab Emirates Dirham,AED,0.04857,0.04857
31,Argentine Peso,ARS,0.92770,0.92770
32,Australian Dollar,AUD,0.01926,0.01926
33,Bulgarian Lev,BGN,0.02305,0.02305
34,Brunei Dollar,BND,0.01843,0.01843
35,Bolivian Boliviano,BOB,0.09144,0.09144
36,Brazilian Real,BRL,0.07248,0.07248
37,Canadian Dollar,CAD,0.01810,0.01810
38,Swiss Franc,CHF,0.01254,0.01254
39,Chilean Peso,CLP,10.86390,10.86390
40,Vietnamese Dong,VND,306.94300,306.94300
41,South African Rand,ZAR,0.22795,0.22795
42,Malaysian Ringgit,MYR,0.05674,0.05674
43,New Zealand Dollar,NZD,0.02059,0.02059
44,Peruvian Nuevo Sol,PEN,0.04667,0.04667
45,Philippine Peso,PHP,0.66054,0.66054
46,Polish Zloty,PLN,0.05268,0.05268
47,Romanian Leu,RON,0.05707,0.05707
48,Serbian Dinar,RSD,1.38561,1.38561
49,Russian Ruble,RUB,0.92374,0.92374
50,Saudi Riyal,SAR,0.04961,0.04961
