,Currencies,Short Form,Sat Jun 27 12:40:31 2020
0,Indonesian Rupiah,IDR,187.9818 IDR
1,Israeli New Sheqel,ILS,0.0454 ILS
2,Jordanian Dinar,JOD,0.0000 JOD
3,Japanese Yen,JPY,1.4139 JPY
4,Kenyan Shilling,KES,0.0000 KES
5,South Korean Won,KRW,15.8709 KRW
6,Lithuanian Litas,LKR,0.0000 LKR
7,Moroccan Dirham,MAD,0.0000 MAD
8,Mexican Peso,MXN,0.3016 MXN
9,Swedish Krona,SEK,0.1235 SEK
10,Singapore Dollar,SGD,0.0184 SGD
11,Thai Baht,THB,0.4088 THB
12,Tunisian Dinar,TND,0.0000 TND
13,Turkish Lira,TRY,0.0906 TRY
14,New Taiwan Dollar,TWD,0.0000 TWD
15,Ukrainian Hryvnia,UAH,0.0000 UAH
16,US Dollar,USD,0.0132 USD
17,Uruguayan Peso,UYU,0.0000 UYU
18,Colombian Peso,COP,0.0000 COP
19,Czech Republic Koruna,CZK,0.3161 CZK
20,Danish Krone,DKK,0.0879 DKK
21,Chinese Yuan,CNY,0.0935 CNY
22,Pakistani Rupee,PKR,0.0000 PKR
23,Egyptian Pound,EGP,0.0000 EGP
24,Euro,EUR,0.0118 EUR
25,Fijian Dollar,FJD,0.0000 FJD
26,British Pound Sterling,GBP,0.0107 GBP
27,Hong Kong Dollar,HKD,0.1025 HKD
28,Croatian Kuna,HRK,0.0891 HRK
29,Hungarian Forint,HUF,4.1870 HUF
30,United Arab Emirates Dirham,AED,0.0000 AED
31,Argentine Peso,ARS,0.0000 ARS
32,Australian Dollar,AUD,0.0192 AUD
33,Bulgarian Lev,BGN,0.0231 BGN
34,Brunei Dollar,BND,0.0000 BND
35,Bolivian Boliviano,BOB,0.0000 BOB
36,Brazilian Real,BRL,0.0714 BRL
37,Canadian Dollar,CAD,0.0181 CAD
38,Swiss Franc,CHF,0.0125 CHF
39,Chilean Peso,CLP,0.0000 CLP
40,Vietnamese Dong,VND,0.0000 VND
41,South African Rand,ZAR,0.2285 ZAR
42,Malaysian Ringgit,MYR,0.0567 MYR
43,New Zealand Dollar,NZD,0.0205 NZD
44,Peruvian Nuevo Sol,PEN,0.0000 PEN
45,Philippine Peso,PHP,0.6608 PHP
46,Polish Zloty,PLN,0.0527 PLN
47,Romanian Leu,RON,0.0571 RON
48,Serbian Dinar,RSD,0.0000 RSD
49,Russian Ruble,RUB,0.9182 RUB
50,Saudi Riyal,SAR,0.0000 SAR
